District,Location,Latitude,Longitude,Lithology,Aquifer_Type,Expected_WBZ_Depth_m,Water_Level_m,Expected_Discharge_LPM,pH,EC_uS_cm,Hardness_mg_L,Nitrate_mg_L,Fluoride_mg_L,Recommended_Drilling,Well_Suitability,Expected_Water_Quality
Kurnool,Site-0751,15.6552,77.2854,Limestone,Confined,170,2.47,164,8.17,648,351,29,0.99,Percussion Drilling,Not Suitable,Good
Anantapur,Site-0752,14.7808,83.7521,Limestone,Fractured,254,9.46,332,8.5,593,522,24,1.73,Auger Drilling,Not Suitable,Poor
West Godavari,Site-0753,18.3316,83.8539,Alluvium,Semi-confined,216,16.46,184,7.36,946,340,41,1.17,Rotary Drilling,Suitable,Poor
Kadapa,Site-0754,14.93,82.7921,Alluvium,Confined,95,3.74,451,8.47,1650,587,69,0.76,Percussion Drilling,Not Suitable,Poor
Prakasam,Site-0755,17.3054,81.5148,Limestone,Confined,268,6.84,478,6.61,1467,548,64,1.26,Rotary Drilling,Not Suitable,Good
Anantapur,Site-0756,16.3598,80.913,Granite,Semi-confined,274,17.62,125,6.63,925,166,93,0.7,Down-the-Hole,Not Suitable,Poor
Anantapur,Site-0757,17.2817,80.4357,Alluvium,Confined,232,5.87,281,7.12,1627,790,39,0.79,Auger Drilling,Suitable,Good
East Godavari,Site-0758,18.8811,81.1081,Granite,Unconfined,213,12.57,446,8.45,1457,165,68,0.94,Percussion Drilling,Not Suitable,Poor
Kurnool,Site-0759,14.4928,81.2107,Basalt,Confined,45,13.69,303,7.96,879,191,13,1.9,Auger Drilling,Suitable,Moderate
Nellore,Site-0760,17.1785,77.9696,Sandstone,Confined,79,7.6,140,7.91,2000,358,64,0.36,Down-the-Hole,Not Suitable,Moderate
Kurnool,Site-0761,14.3598,83.8995,Alluvium,Unconfined,203,10.13,98,7.55,241,720,8,1.97,Rotary Drilling,Not Suitable,Poor
Prakasam,Site-0762,13.5729,77.0121,Limestone,Unconfined,32,7.88,206,6.56,1363,676,48,1.75,Percussion Drilling,Suitable,Good
West Godavari,Site-0763,15.9892,80.7465,Sandstone,Unconfined,109,12.79,343,6.85,1102,281,65,0.47,Auger Drilling,Not Suitable,Good
West Godavari,Site-0764,13.2326,80.7631,Granite,Semi-confined,179,3.94,399,6.86,1261,271,13,1.1,Percussion Drilling,Suitable,Poor
Prakasam,Site-0765,18.6269,83.5002,Limestone,Fractured,259,18.99,392,7.61,892,352,47,0.45,Auger Drilling,Suitable,Good
Nellore,Site-0766,13.2495,77.4104,Shale,Unconfined,296,3.64,385,7.14,1279,676,74,1.46,Auger Drilling,Not Suitable,Poor
Kurnool,Site-0767,14.6954,77.9483,Basalt,Semi-confined,248,9.28,243,6.66,248,603,14,0.78,Auger Drilling,Suitable,Poor
Nellore,Site-0768,14.8354,83.946,Sandstone,Unconfined,300,16.96,146,8.39,828,701,96,1.82,Percussion Drilling,Not Suitable,Poor
Prakasam,Site-0769,17.4355,80.74,Granite,Semi-confined,227,5.39,325,6.6,1890,800,56,1.53,Percussion Drilling,Not Suitable,Poor
Prakasam,Site-0770,17.0868,77.313,Basalt,Unconfined,264,19.1,163,7.92,349,308,64,0.57,Rotary Drilling,Not Suitable,Good
Nellore,Site-0771,14.2362,81.8257,Sandstone,Unconfined,153,13.87,475,7.16,562,499,30,0.87,Auger Drilling,Suitable,Good
Kadapa,Site-0772,13.85,78.7232,Alluvium,Semi-confined,246,14.25,413,8.23,1482,417,27,1.89,Down-the-Hole,Not Suitable,Moderate
Anantapur,Site-0773,15.4953,79.8955,Sandstone,Confined,279,6.56,55,7.75,1009,142,90,1.58,Percussion Drilling,Not Suitable,Poor
Kurnool,Site-0774,13.4231,77.8007,Basalt,Fractured,64,5.3,217,6.83,1715,362,88,1.49,Auger Drilling,Not Suitable,Moderate
East Godavari,Site-0775,14.7186,82.9886,Sandstone,Unconfined,91,9.11,153,8.4,1336,609,26,0.43,Rotary Drilling,Not Suitable,Moderate
Krishna,Site-0776,13.6561,78.6005,Shale,Confined,72,15.73,462,6.63,1092,730,48,0.99,Percussion Drilling,Suitable,Moderate
West Godavari,Site-0777,17.6148,81.6401,Limestone,Confined,137,15.05,72,7.64,512,449,33,1.86,Down-the-Hole,Not Suitable,Moderate
Kurnool,Site-0778,18.4094,77.395,Shale,Confined,179,11.1,165,6.87,598,443,85,1.5,Rotary Drilling,Not Suitable,Moderate
Chittoor,Site-0779,18.0605,81.2116,Sandstone,Confined,103,11.85,212,6.61,1602,166,53,1.13,Rotary Drilling,Not Suitable,Poor
Kadapa,Site-0780,17.3445,79.2516,Granite,Confined,83,14.32,53,7.26,1352,159,50,1.58,Rotary Drilling,Not Suitable,Good
Anantapur,Site-0781,16.3818,77.5175,Alluvium,Fractured,227,7.08,365,7.27,1732,343,88,1.08,Down-the-Hole,Not Suitable,Moderate
Krishna,Site-0782,15.8748,83.29,Shale,Semi-confined,144,4.6,376,7.96,995,363,21,0.86,Rotary Drilling,Suitable,Moderate
Guntur,Site-0783,13.8639,80.2195,Alluvium,Confined,235,4.25,370,7.21,1031,531,54,1.03,Auger Drilling,Not Suitable,Moderate
Nellore,Site-0784,15.7811,79.3646,Alluvium,Fractured,98,15.02,155,6.99,1659,295,73,0.55,Down-the-Hole,Not Suitable,Moderate
East Godavari,Site-0785,18.1746,82.5445,Sandstone,Semi-confined,139,9.07,290,6.72,1535,563,39,1.83,Auger Drilling,Suitable,Good
Kurnool,Site-0786,14.3031,80.8619,Basalt,Fractured,294,9.77,276,6.55,622,495,73,1.4,Down-the-Hole,Not Suitable,Poor
West Godavari,Site-0787,17.6154,81.4887,Limestone,Confined,107,9.4,289,6.99,1712,233,98,1.88,Down-the-Hole,Not Suitable,Poor
West Godavari,Site-0788,16.1835,81.3966,Granite,Unconfined,63,3.54,54,8.34,1980,154,43,1.73,Down-the-Hole,Not Suitable,Moderate
Kurnool,Site-0789,17.4615,83.7057,Sandstone,Unconfined,215,13.22,211,7.67,1896,557,61,0.81,Percussion Drilling,Not Suitable,Moderate
Guntur,Site-0790,13.609,80.9332,Basalt,Confined,242,4.13,366,7.32,1350,665,81,1.05,Down-the-Hole,Not Suitable,Poor
Kurnool,Site-0791,18.8567,81.6471,Basalt,Fractured,79,15.6,119,8.26,1168,488,62,0.51,Rotary Drilling,Not Suitable,Poor
Prakasam,Site-0792,18.5857,81.0942,Basalt,Fractured,40,19.47,393,7.63,895,187,48,0.32,Percussion Drilling,Suitable,Poor
Guntur,Site-0793,17.0642,83.4173,Granite,Confined,194,7.26,455,8.4,370,463,78,1.97,Auger Drilling,Not Suitable,Good
West Godavari,Site-0794,18.3463,79.9242,Basalt,Semi-confined,159,5.46,193,8.46,248,601,41,1.83,Rotary Drilling,Not Suitable,Poor
Kurnool,Site-0795,17.2031,78.8418,Shale,Semi-confined,50,6.91,438,7.81,1550,182,43,1.19,Percussion Drilling,Suitable,Poor
Anantapur,Site-0796,17.4078,77.1345,Shale,Confined,270,8.84,68,7.89,753,484,43,0.86,Auger Drilling,Not Suitable,Moderate
Prakasam,Site-0797,13.794,79.4237,Sandstone,Confined,280,7.07,92,8.33,1575,186,86,1.84,Rotary Drilling,Not Suitable,Good
Kadapa,Site-0798,17.8374,77.7493,Granite,Confined,221,3.17,342,8.1,1795,189,10,0.22,Rotary Drilling,Not Suitable,Poor
Prakasam,Site-0799,18.221,81.3222,Basalt,Fractured,199,16.15,104,7.73,315,242,26,1.85,Rotary Drilling,Suitable,Good
Chittoor,Site-0800,17.3095,77.6411,Shale,Confined,137,2.9,90,7.27,1480,642,25,1.06,Percussion Drilling,Not Suitable,Poor
Krishna,Site-0801,16.6327,78.3025,Sandstone,Unconfined,256,5.33,53,6.66,604,369,19,1.78,Percussion Drilling,Not Suitable,Poor
Chittoor,Site-0802,17.2172,77.5305,Basalt,Semi-confined,146,4.92,375,8.17,807,715,53,1.11,Down-the-Hole,Not Suitable,Good
Nellore,Site-0803,14.5057,79.4133,Basalt,Unconfined,158,7.07,132,6.63,328,605,45,1.82,Rotary Drilling,Suitable,Poor
Nellore,Site-0804,13.4797,82.351,Alluvium,Fractured,36,19.59,395,6.68,1404,470,90,1.43,Rotary Drilling,Not Suitable,Poor
Guntur,Site-0805,17.3629,79.2334,Sandstone,Fractured,219,10.99,440,7.48,1318,294,30,1.26,Rotary Drilling,Suitable,Poor
Prakasam,Site-0806,15.4584,83.1598,Sandstone,Fractured,267,17.64,287,7.4,490,494,54,1.91,Percussion Drilling,Not Suitable,Moderate
Nellore,Site-0807,18.9386,81.4254,Shale,Semi-confined,37,9.82,468,7.82,553,254,76,1.9,Percussion Drilling,Not Suitable,Good
Anantapur,Site-0808,15.3477,78.0493,Sandstone,Confined,41,10.95,131,7.11,1948,662,36,0.61,Auger Drilling,Suitable,Poor
Krishna,Site-0809,15.5971,83.6313,Basalt,Fractured,60,8.36,104,6.63,862,588,78,0.72,Percussion Drilling,Not Suitable,Poor
Krishna,Site-0810,17.8217,79.9144,Granite,Semi-confined,111,8.09,209,7.87,1078,726,16,1.28,Down-the-Hole,Suitable,Moderate
Prakasam,Site-0811,17.8427,83.0487,Sandstone,Fractured,62,2.32,239,7.33,628,434,89,0.62,Down-the-Hole,Not Suitable,Poor
Krishna,Site-0812,17.7208,80.885,Limestone,Semi-confined,129,18.23,214,8.06,1372,334,91,1.27,Percussion Drilling,Not Suitable,Good
Krishna,Site-0813,16.3798,83.2339,Sandstone,Unconfined,226,15.5,369,7.14,1283,602,60,1.28,Down-the-Hole,Not Suitable,Good
Krishna,Site-0814,15.3375,78.3523,Sandstone,Confined,216,17.26,80,7.45,657,748,1,0.79,Auger Drilling,Not Suitable,Poor
Kadapa,Site-0815,17.7021,83.6967,Shale,Semi-confined,132,16.83,380,6.88,1423,719,16,0.73,Rotary Drilling,Suitable,Poor
Kurnool,Site-0816,16.141,80.5289,Basalt,Fractured,246,14.61,486,6.52,734,309,19,0.73,Rotary Drilling,Suitable,Poor
Nellore,Site-0817,13.4723,80.2546,Basalt,Fractured,225,11.99,354,7.39,843,210,36,1.02,Percussion Drilling,Suitable,Poor
West Godavari,Site-0818,15.72,78.1403,Basalt,Semi-confined,38,4.23,494,7.15,1177,477,19,0.77,Auger Drilling,Suitable,Poor
Anantapur,Site-0819,16.7733,81.5243,Shale,Confined,197,13.04,439,6.57,779,431,73,1.56,Rotary Drilling,Not Suitable,Poor
Anantapur,Site-0820,17.3367,81.9956,Shale,Unconfined,64,4.52,102,7.55,1661,340,12,1.56,Down-the-Hole,Suitable,Moderate
Chittoor,Site-0821,15.4759,82.256,Shale,Fractured,61,11.44,378,8.08,1622,258,71,1.68,Percussion Drilling,Not Suitable,Moderate
Kadapa,Site-0822,13.6915,83.38,Sandstone,Confined,152,3.02,399,7.62,307,758,90,0.61,Rotary Drilling,Not Suitable,Good
Kurnool,Site-0823,17.5512,83.6498,Basalt,Semi-confined,195,8.98,374,7.84,239,622,98,0.72,Rotary Drilling,Not Suitable,Poor
Nellore,Site-0824,16.3002,77.2809,Limestone,Unconfined,136,6.13,301,6.51,1637,182,75,1.79,Percussion Drilling,Not Suitable,Moderate
Kurnool,Site-0825,13.9135,77.0514,Alluvium,Semi-confined,166,12.01,311,7.28,1909,306,97,1.29,Down-the-Hole,Not Suitable,Good
Prakasam,Site-0826,18.3876,79.7484,Alluvium,Semi-confined,261,2.52,358,8.44,1575,624,99,0.93,Percussion Drilling,Not Suitable,Good
Anantapur,Site-0827,15.3247,77.7471,Basalt,Confined,182,16.99,395,6.93,1414,410,47,1.03,Percussion Drilling,Suitable,Poor
Guntur,Site-0828,14.3008,77.1667,Granite,Confined,122,17.49,155,7.5,1674,497,93,0.79,Auger Drilling,Not Suitable,Poor
Kadapa,Site-0829,18.5249,80.3612,Limestone,Semi-confined,157,3.4,104,8.27,1946,131,80,0.29,Rotary Drilling,Not Suitable,Moderate
Anantapur,Site-0830,14.8207,79.6699,Limestone,Confined,79,2.96,160,7.79,1066,481,10,0.7,Rotary Drilling,Suitable,Moderate
Anantapur,Site-0831,18.3911,79.1144,Sandstone,Fractured,134,4.17,375,7.99,1596,131,61,0.51,Rotary Drilling,Not Suitable,Good
Kurnool,Site-0832,15.7315,83.2051,Alluvium,Semi-confined,168,2.41,338,7.46,1697,256,28,0.32,Auger Drilling,Suitable,Good
Anantapur,Site-0833,15.9845,82.8132,Shale,Confined,36,12.38,72,7.81,1776,387,91,0.71,Auger Drilling,Not Suitable,Good
Guntur,Site-0834,13.1465,78.9037,Basalt,Confined,259,16.59,382,6.59,1353,545,72,1.91,Auger Drilling,Not Suitable,Good
Anantapur,Site-0835,14.7191,77.6189,Sandstone,Fractured,271,11.8,241,7.82,960,664,70,0.46,Down-the-Hole,Not Suitable,Moderate
Kadapa,Site-0836,16.4813,79.6048,Sandstone,Semi-confined,105,16.66,434,8.28,1583,655,53,0.85,Auger Drilling,Not Suitable,Good
West Godavari,Site-0837,14.5192,77.9635,Sandstone,Fractured,260,15.57,491,7.86,287,451,65,1.85,Percussion Drilling,Not Suitable,Poor
Prakasam,Site-0838,16.2413,82.8241,Basalt,Confined,135,16.84,252,6.66,1058,214,65,1.18,Rotary Drilling,Not Suitable,Poor
Anantapur,Site-0839,14.5283,80.8531,Basalt,Confined,201,10.81,216,7.96,1832,482,71,1.89,Auger Drilling,Not Suitable,Good
West Godavari,Site-0840,15.1068,79.856,Granite,Confined,262,4.8,405,8.29,585,100,65,1.64,Auger Drilling,Not Suitable,Good
Chittoor,Site-0841,17.1696,79.1459,Shale,Semi-confined,137,11.76,99,8.4,591,124,3,0.26,Rotary Drilling,Not Suitable,Good
Kadapa,Site-0842,17.9659,81.7634,Granite,Semi-confined,261,19.12,266,8.39,1554,512,2,1.46,Down-the-Hole,Not Suitable,Moderate
Nellore,Site-0843,15.2495,79.1265,Limestone,Fractured,51,14.22,66,7.5,919,131,33,1.46,Auger Drilling,Not Suitable,Poor
Chittoor,Site-0844,15.5362,81.1099,Sandstone,Fractured,43,8.84,299,8.02,377,586,33,1.18,Rotary Drilling,Not Suitable,Good
Chittoor,Site-0845,15.7281,82.2434,Basalt,Fractured,47,7.81,332,8.05,1950,562,28,1.3,Rotary Drilling,Not Suitable,Good
Kadapa,Site-0846,16.5606,81.7267,Granite,Fractured,65,11.04,287,7.05,1357,497,69,1.38,Rotary Drilling,Not Suitable,Moderate
West Godavari,Site-0847,13.706,80.6172,Basalt,Fractured,180,17.36,70,7.08,878,536,15,1.44,Rotary Drilling,Not Suitable,Good
Krishna,Site-0848,15.9175,77.0398,Alluvium,Confined,222,2.79,143,6.95,1972,799,75,1.72,Percussion Drilling,Not Suitable,Poor
Krishna,Site-0849,17.8505,83.6363,Granite,Unconfined,114,4.51,429,8.46,1439,676,4,0.99,Down-the-Hole,Not Suitable,Poor
Nellore,Site-0850,13.1232,80.6762,Alluvium,Semi-confined,84,9.54,67,7.06,1341,532,9,0.32,Down-the-Hole,Not Suitable,Poor
Prakasam,Site-0851,15.8478,80.5498,Basalt,Confined,91,2.43,94,7.64,1561,301,58,1.39,Down-the-Hole,Not Suitable,Poor
Guntur,Site-0852,15.8673,83.7961,Alluvium,Confined,241,4.09,70,6.96,501,407,18,1.54,Auger Drilling,Not Suitable,Good
Prakasam,Site-0853,13.36,82.5166,Granite,Semi-confined,34,7.46,465,6.77,699,591,28,0.54,Auger Drilling,Suitable,Moderate
Krishna,Site-0854,14.2847,78.2069,Limestone,Unconfined,104,14.01,489,7.52,1963,169,62,1.12,Rotary Drilling,Not Suitable,Poor
Kadapa,Site-0855,14.4824,82.2739,Alluvium,Semi-confined,145,16.9,258,6.62,1084,143,42,1.61,Rotary Drilling,Suitable,Good
Prakasam,Site-0856,15.3447,81.2451,Basalt,Confined,275,13.07,454,7.52,1032,761,97,1.34,Percussion Drilling,Not Suitable,Poor
East Godavari,Site-0857,14.7258,82.4117,Shale,Unconfined,243,3.19,93,7.91,1791,249,99,1.35,Down-the-Hole,Not Suitable,Moderate
Nellore,Site-0858,14.685,81.5512,Sandstone,Semi-confined,197,18.55,487,8.4,1247,599,50,1.56,Percussion Drilling,Not Suitable,Moderate
Prakasam,Site-0859,13.5459,80.4277,Sandstone,Unconfined,158,13.32,188,8.25,1417,625,30,0.76,Down-the-Hole,Not Suitable,Good
West Godavari,Site-0860,14.1476,83.8064,Basalt,Semi-confined,295,14.17,192,7.03,1068,785,85,0.54,Percussion Drilling,Not Suitable,Poor
Guntur,Site-0861,14.1398,81.8019,Alluvium,Semi-confined,134,16.36,347,7.54,440,398,82,0.64,Down-the-Hole,Not Suitable,Good
Krishna,Site-0862,15.25,79.7414,Alluvium,Semi-confined,265,11.67,124,7.01,347,358,16,1.94,Auger Drilling,Suitable,Good
Chittoor,Site-0863,14.1336,83.5389,Shale,Fractured,171,11.2,265,6.9,304,537,81,1.97,Rotary Drilling,Not Suitable,Moderate
Nellore,Site-0864,15.3213,77.8361,Basalt,Unconfined,215,15.68,77,6.58,343,384,14,1.19,Down-the-Hole,Not Suitable,Good
Chittoor,Site-0865,18.5545,81.8071,Basalt,Unconfined,60,2.18,222,8.45,1673,383,37,0.97,Percussion Drilling,Not Suitable,Good
West Godavari,Site-0866,16.622,82.2621,Limestone,Semi-confined,151,4.73,333,7.67,1761,325,22,1.65,Auger Drilling,Suitable,Good
East Godavari,Site-0867,16.6978,83.6813,Granite,Semi-confined,278,4.24,176,8.19,652,347,59,1.3,Percussion Drilling,Not Suitable,Good
Guntur,Site-0868,13.6443,78.6714,Sandstone,Fractured,227,10.03,168,6.7,367,518,92,1.0,Percussion Drilling,Not Suitable,Poor
Nellore,Site-0869,18.1035,82.2549,Granite,Semi-confined,135,17.87,301,7.37,1992,636,44,0.78,Auger Drilling,Suitable,Poor
West Godavari,Site-0870,15.3274,80.0953,Basalt,Semi-confined,103,14.66,357,8.17,1599,486,22,1.62,Percussion Drilling,Not Suitable,Good
Prakasam,Site-0871,15.1196,78.919,Alluvium,Semi-confined,148,8.83,499,7.44,249,676,32,1.36,Rotary Drilling,Suitable,Moderate
Anantapur,Site-0872,15.3332,79.4163,Shale,Unconfined,281,9.85,278,8.32,383,547,33,0.83,Down-the-Hole,Not Suitable,Moderate
Guntur,Site-0873,15.8712,78.1798,Limestone,Confined,48,19.62,236,6.6,668,192,91,1.85,Rotary Drilling,Not Suitable,Poor
East Godavari,Site-0874,13.3004,77.5548,Sandstone,Fractured,106,7.28,489,7.37,1983,290,30,0.94,Percussion Drilling,Suitable,Poor
Chittoor,Site-0875,14.3909,77.6459,Granite,Confined,177,11.86,266,8.29,683,117,26,1.28,Rotary Drilling,Not Suitable,Good
Chittoor,Site-0876,14.6143,82.482,Limestone,Unconfined,266,11.96,238,7.95,512,646,24,0.64,Rotary Drilling,Suitable,Moderate
Kadapa,Site-0877,17.5981,80.5927,Granite,Unconfined,231,4.43,74,7.44,1933,235,31,1.75,Down-the-Hole,Not Suitable,Poor
Guntur,Site-0878,15.7744,80.1846,Alluvium,Unconfined,157,4.92,360,8.01,337,486,18,0.2,Auger Drilling,Not Suitable,Poor
Krishna,Site-0879,17.0652,79.7651,Limestone,Fractured,298,10.4,381,8.39,924,720,74,1.49,Auger Drilling,Not Suitable,Moderate
East Godavari,Site-0880,18.6212,78.1683,Shale,Confined,48,5.72,357,8.49,1924,405,15,1.29,Auger Drilling,Not Suitable,Moderate
Nellore,Site-0881,14.7971,77.1671,Shale,Confined,38,5.88,446,7.78,501,560,76,1.62,Percussion Drilling,Not Suitable,Poor
Guntur,Site-0882,15.3782,77.9962,Basalt,Fractured,159,10.76,288,7.93,960,309,60,0.43,Rotary Drilling,Not Suitable,Good
Kadapa,Site-0883,18.3822,83.4592,Sandstone,Semi-confined,57,8.31,247,8.27,1986,543,10,1.28,Down-the-Hole,Not Suitable,Poor
East Godavari,Site-0884,15.8626,83.5378,Shale,Unconfined,210,7.97,208,8.34,539,111,13,0.46,Down-the-Hole,Not Suitable,Good
Anantapur,Site-0885,16.057,81.4147,Sandstone,Unconfined,259,9.26,458,7.73,910,736,42,0.71,Rotary Drilling,Suitable,Poor
West Godavari,Site-0886,13.7398,80.0688,Shale,Fractured,293,2.65,449,7.6,1733,679,65,0.32,Percussion Drilling,Not Suitable,Moderate
Prakasam,Site-0887,16.9637,80.079,Alluvium,Semi-confined,103,4.56,150,6.69,986,382,51,0.6,Rotary Drilling,Not Suitable,Moderate
Anantapur,Site-0888,18.7214,78.3615,Limestone,Confined,243,16.39,127,7.35,1363,361,27,0.2,Rotary Drilling,Suitable,Good
Anantapur,Site-0889,14.593,80.3787,Granite,Confined,269,18.47,134,8.35,1210,216,11,1.4,Down-the-Hole,Not Suitable,Poor
Prakasam,Site-0890,18.1036,83.6897,Sandstone,Semi-confined,197,11.48,391,7.86,1667,703,67,1.43,Percussion Drilling,Not Suitable,Good
Anantapur,Site-0891,15.6032,78.9053,Limestone,Semi-confined,285,19.51,257,6.6,1411,407,33,0.39,Percussion Drilling,Suitable,Poor
Kurnool,Site-0892,18.0669,78.5327,Basalt,Fractured,108,18.67,407,7.58,943,522,96,0.92,Down-the-Hole,Not Suitable,Moderate
Chittoor,Site-0893,14.455,81.3614,Alluvium,Unconfined,190,18.67,79,7.37,1869,542,20,0.95,Rotary Drilling,Not Suitable,Moderate
Prakasam,Site-0894,13.7094,78.6498,Shale,Fractured,139,9.3,484,6.97,698,725,22,0.81,Down-the-Hole,Suitable,Poor
Nellore,Site-0895,18.1192,77.7046,Granite,Unconfined,106,11.73,302,8.29,1825,763,20,1.99,Rotary Drilling,Not Suitable,Moderate
Kadapa,Site-0896,13.1961,79.04,Sandstone,Semi-confined,74,2.73,208,7.16,279,696,11,1.98,Rotary Drilling,Suitable,Good
Kadapa,Site-0897,18.3823,82.7693,Shale,Unconfined,166,12.68,365,8.17,346,727,37,0.45,Auger Drilling,Not Suitable,Poor
Guntur,Site-0898,13.9444,82.4325,Limestone,Unconfined,284,12.92,402,7.07,1005,446,86,0.49,Auger Drilling,Not Suitable,Moderate
Prakasam,Site-0899,18.7102,79.1448,Alluvium,Fractured,244,16.53,170,8.09,1934,416,86,0.79,Percussion Drilling,Not Suitable,Moderate
Kadapa,Site-0900,17.2194,77.2576,Granite,Unconfined,105,3.94,279,6.75,1680,175,37,1.59,Down-the-Hole,Suitable,Poor
Kurnool,Site-0901,17.3118,80.0473,Granite,Semi-confined,137,18.12,385,6.57,520,500,25,0.82,Rotary Drilling,Suitable,Good
Guntur,Site-0902,15.3374,82.6876,Shale,Fractured,195,10.09,467,7.15,1648,532,85,0.77,Percussion Drilling,Not Suitable,Good
Kadapa,Site-0903,18.7257,79.9106,Shale,Semi-confined,105,2.76,121,6.98,1436,607,36,1.83,Percussion Drilling,Suitable,Moderate
Anantapur,Site-0904,17.6252,81.4208,Alluvium,Semi-confined,220,8.07,103,7.47,1888,613,26,0.58,Down-the-Hole,Suitable,Poor
East Godavari,Site-0905,14.6407,79.7348,Limestone,Confined,252,15.85,424,8.1,1131,705,71,0.72,Auger Drilling,Not Suitable,Good
Guntur,Site-0906,14.9956,79.8514,Alluvium,Unconfined,272,16.93,263,8.36,1446,685,30,1.86,Percussion Drilling,Not Suitable,Moderate
Guntur,Site-0907,14.8017,81.5644,Granite,Confined,160,9.11,52,7.56,283,327,58,0.63,Rotary Drilling,Not Suitable,Moderate
Anantapur,Site-0908,18.7518,82.6167,Sandstone,Fractured,38,11.03,425,8.09,1510,413,99,1.28,Rotary Drilling,Not Suitable,Moderate
West Godavari,Site-0909,14.2805,81.629,Sandstone,Unconfined,150,18.66,249,7.62,872,281,70,1.38,Rotary Drilling,Not Suitable,Poor
Nellore,Site-0910,13.4781,81.5279,Shale,Unconfined,80,4.34,433,7.96,546,773,38,1.41,Auger Drilling,Suitable,Good
Nellore,Site-0911,14.2246,78.1474,Granite,Semi-confined,188,19.96,404,7.6,340,178,20,1.77,Rotary Drilling,Suitable,Good
Chittoor,Site-0912,17.672,82.561,Sandstone,Confined,88,15.77,222,6.74,1768,647,60,1.12,Auger Drilling,Not Suitable,Poor
West Godavari,Site-0913,14.6698,77.5829,Granite,Semi-confined,120,8.98,146,7.59,712,118,80,1.65,Rotary Drilling,Not Suitable,Good
Kadapa,Site-0914,13.8749,78.1224,Alluvium,Confined,275,19.84,437,7.76,261,448,50,1.63,Auger Drilling,Not Suitable,Good
East Godavari,Site-0915,17.6552,79.8172,Basalt,Confined,277,15.92,432,7.89,1725,332,85,1.88,Auger Drilling,Not Suitable,Poor
Krishna,Site-0916,15.3237,81.4977,Basalt,Unconfined,48,10.15,51,7.64,235,780,48,1.37,Auger Drilling,Not Suitable,Poor
Anantapur,Site-0917,18.8175,83.034,Granite,Confined,79,12.7,337,8.03,1414,239,61,1.09,Down-the-Hole,Not Suitable,Good
West Godavari,Site-0918,17.865,82.503,Alluvium,Semi-confined,155,7.62,470,7.35,279,209,8,1.89,Percussion Drilling,Suitable,Poor
Guntur,Site-0919,17.8942,83.995,Sandstone,Semi-confined,240,19.66,321,7.23,1220,415,95,0.74,Rotary Drilling,Not Suitable,Good
Guntur,Site-0920,14.9665,81.9826,Basalt,Unconfined,215,4.04,185,8.04,851,226,24,1.24,Rotary Drilling,Not Suitable,Good
Anantapur,Site-0921,14.6591,82.8903,Limestone,Unconfined,182,18.31,386,7.1,1026,141,40,1.85,Auger Drilling,Suitable,Good
Prakasam,Site-0922,14.6143,77.3644,Granite,Unconfined,32,3.92,294,6.59,1857,469,52,1.18,Down-the-Hole,Not Suitable,Good
West Godavari,Site-0923,18.6379,83.2652,Basalt,Unconfined,201,5.03,382,8.34,1635,206,81,1.66,Auger Drilling,Not Suitable,Good
Kadapa,Site-0924,14.0162,83.701,Alluvium,Confined,238,2.1,317,8.25,1381,292,64,1.19,Rotary Drilling,Not Suitable,Moderate
Kurnool,Site-0925,16.6795,79.7191,Limestone,Semi-confined,206,4.45,352,7.32,1384,394,35,0.65,Rotary Drilling,Suitable,Poor
Nellore,Site-0926,14.53,81.2368,Granite,Unconfined,237,12.63,432,7.01,462,690,24,1.67,Rotary Drilling,Suitable,Poor
Kurnool,Site-0927,13.7947,77.2814,Basalt,Unconfined,66,14.31,118,8.43,766,215,74,0.21,Percussion Drilling,Not Suitable,Poor
Chittoor,Site-0928,17.9798,77.0963,Granite,Semi-confined,135,10.05,125,7.95,1808,226,48,0.79,Auger Drilling,Suitable,Moderate
East Godavari,Site-0929,17.0819,80.1039,Basalt,Confined,135,9.01,146,8.24,1957,778,32,1.08,Down-the-Hole,Not Suitable,Moderate
Anantapur,Site-0930,14.5127,80.0331,Basalt,Unconfined,60,15.47,318,7.08,1046,213,37,0.45,Down-the-Hole,Suitable,Good
Nellore,Site-0931,17.6143,80.3126,Limestone,Unconfined,262,8.26,379,6.95,611,382,62,1.93,Down-the-Hole,Not Suitable,Good
Krishna,Site-0932,14.3234,83.3336,Granite,Confined,278,8.92,332,7.52,496,212,35,1.5,Down-the-Hole,Suitable,Poor
Chittoor,Site-0933,14.6309,81.6081,Sandstone,Fractured,40,3.13,104,6.98,779,358,32,1.56,Percussion Drilling,Suitable,Poor
Krishna,Site-0934,18.8647,77.0236,Granite,Semi-confined,244,12.22,50,7.46,583,211,94,0.75,Auger Drilling,Not Suitable,Moderate
Guntur,Site-0935,16.5172,81.4019,Alluvium,Semi-confined,79,8.84,369,6.89,701,432,6,1.74,Down-the-Hole,Suitable,Moderate
Kurnool,Site-0936,16.1949,80.4521,Shale,Unconfined,69,3.86,120,6.96,1974,144,27,1.04,Rotary Drilling,Suitable,Good
East Godavari,Site-0937,15.6477,77.95,Alluvium,Confined,141,8.68,68,7.01,1403,518,16,1.98,Auger Drilling,Not Suitable,Good
Chittoor,Site-0938,15.0449,78.657,Granite,Unconfined,158,16.24,324,7.99,1758,346,6,1.06,Down-the-Hole,Suitable,Poor
